Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,"% Pop. Change, 60-70","% Pop. Change, 70-80","% Pop. Change, 80-90","% Pop. Change, 90-00","% Pop. Change, 00-10",Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
Allegheny Center,3,"4,521","3,862","2,512",632,"1,586","1,262",886,933,-74.84%,150.95%,-20.43%,-29.79%,5.30%,0.31%,0.2,134.4,"4,442.90","4,219.00",6.9,6.6,48.55%,6.00%,0.64%,40.84%,3.97%,2.90%,4.19%,21.70%,27.57%,22.43%,17.61%,6.50%
Allegheny West,3,"3,210","3,313","2,170","1,124",820,654,508,462,-48.20%,-27.05%,-20.24%,-22.32%,-9.06%,0.15%,0.1,90.2,"3,276.60","3,602.80",5.1,5.6,18.18%,1.52%,0.65%,76.62%,3.03%,2.80%,0%,0%,8.37%,68.20%,12.55%,10.88%
Allentown,6,"8,227","7,487","6,416","5,361","4,292","3,600","3,220","2,500",-16.44%,-19.94%,-16.12%,-10.56%,-22.36%,0.82%,0.3,188.8,"8,474.60","10,915.30",13.2,17.1,35.12%,0.04%,0.80%,59.40%,4.64%,2.30%,3.66%,14.85%,24.11%,35.30%,14.40%,7.67%
Arlington,7,"2,702","3,203","4,430","3,949","2,294","2,210","1,999","1,869",-10.86%,-41.91%,-3.66%,-9.55%,-6.50%,0.61%,0.5,300.8,"3,976.60","4,253.20",6.2,6.6,19.85%,0.16%,0.37%,76.46%,3.16%,1.40%,6.91%,18.89%,19.45%,31.53%,8.88%,14.33%
Arlington Heights,7,"2,413","2,860","2,272","2,037","1,466","1,497",238,244,-10.34%,-28.03%,2.11%,-84.10%,2.52%,0.08%,0.1,84.5,"1,848.50","1,803.00",2.9,2.8,84.02%,0.00%,1.64%,9.43%,4.92%,0.80%,4.10%,39.25%,16.38%,30.72%,3.41%,6.14%
Banksville,5,"1,214","1,328","2,641","4,927","3,831","4,769","4,540","4,144",86.56%,-22.24%,24.48%,-4.80%,-8.72%,1.36%,1,620.2,"4,276.60","4,685.20",6.7,7.3,4.08%,5.09%,0.53%,88.10%,2.20%,1.40%,2.88%,11.12%,25.16%,29.82%,9.16%,21.85%
Bedford Dwellings,15,"2,663","3,870","4,915","3,800","2,878","2,317","2,109","1,202",-22.69%,-24.26%,-19.49%,-8.98%,-43.01%,0.39%,0.2,114.6,"6,715.10","11,782.10",10.5,18.4,92.01%,0.25%,0.75%,3.99%,3%,1.60%,19.12%,13.05%,14.05%,28.01%,16.96%,8.81%
Beechview,5,"10,853","11,994","14,032","14,360","11,911","9,311","8,772","7,974",2.34%,-17.05%,-21.83%,-5.79%,-9.10%,2.61%,1.5,934.4,"5,461.60","6,008.20",8.5,9.4,12.08%,1.57%,2.77%,80.94%,2.65%,5.60%,5.62%,15.30%,23.89%,33.18%,12.03%,9.98%
Beltzhoover,6,"8,407","8,153","7,064","5,908","4,206","3,338","2,783","1,925",-16.36%,-28.81%,-20.64%,-16.63%,-30.83%,0.63%,0.4,269.4,"4,572.40","6,610.50",7.1,10.3,83.32%,0.16%,1.87%,9.92%,4.73%,2%,6.18%,26.83%,12.87%,29.18%,12.97%,11.98%
Bloomfield,12,"20,708","20,074","16,715","14,411","11,761","10,405","9,089","8,442",-13.78%,-18.39%,-11.53%,-12.65%,-7.12%,2.76%,0.7,449.3,"12,025.60","12,947.30",18.8,20.2,8.75%,6.42%,1.04%,81.57%,2.22%,2.60%,3.69%,8.65%,40.22%,27.47%,12.56%,7.40%
